time,algo,attack,efficacite,cout,robustesse,redondance,disparite,criticite
32,none,none,0.6960718294051571,5104,1.0,12.658585858585859,0.5394026324497809,0.0
32,KMeans,none,0.9316239316239316,798,1.0,1.9373219373219372,0.1932355634561517,9.090909090909092
32,KMeans,none,0.9316239316239316,798,1.0,1.9373219373219372,0.1932355634561517,9.090909090909092
33,none,none,0.6961279461279406,5102,1.0,12.487542087542087,0.5395271809041859,0.0
33,KMeans,none,0.9371165644171779,734,1.0,1.9049079754601228,0.21382731253420909,20.0
33,KMeans,none,0.9371165644171779,734,1.0,1.9049079754601228,0.21382731253420909,20.0
34,none,none,0.6966778900112178,5110,1.0,15.93131313131313,0.5412010487768952,0.0
34,KMeans,none,0.8803763440860215,922,1.0,2.2096774193548385,0.35787198348173954,23.636363636363637
34,KMeans,none,0.8803763440860215,922,1.0,2.2096774193548385,0.35787198348173954,23.636363636363637
35,none,none,0.6974635241301853,5104,1.0,16.065993265993267,0.5544849719823555,0.0
35,KMeans,none,0.8596491228070178,1080,1.0,2.588516746411483,0.3180370624704175,14.545454545454545
35,KMeans,none,0.8596491228070178,1080,1.0,2.588516746411483,0.3180370624704175,14.545454545454545
36,none,none,0.6982491582491528,5098,1.0,16.38114478114478,0.5676753928126722,0.0
36,KMeans,none,0.8811230585424134,696,1.0,2.043010752688172,0.30559916274201987,38.18181818181818
36,KMeans,none,0.8811230585424134,696,1.0,2.043010752688172,0.30559916274201987,38.18181818181818
37,none,none,0.6985858585858531,5096,1.0,16.406060606060606,0.5692330874999472,0.0
37,KMeans,none,0.9241996233521658,822,1.0,2.2288135593220337,0.22670366392170904,36.36363636363637
37,KMeans,none,0.9241996233521658,822,1.0,2.2288135593220337,0.22670366392170904,36.36363636363637
38,none,none,0.6995959595959543,5086,1.0,16.564309764309765,0.5675730321429037,0.0
38,KMeans,none,0.8763102725366876,1190,0.9958071278825996,2.7840670859538785,0.349560732422745,16.363636363636363
38,KMeans,none,0.8763102725366876,1190,0.9958071278825996,2.7840670859538785,0.349560732422745,16.363636363636363
